lambda,error
0.0,0.955038887686754
0.04,0.9548578415022415
0.08,0.9546829844548981
0.12,0.9545143146069992
0.16,0.9543518300213981
0.2,0.9541955287615764
0.24,0.9540454088916315
0.28,0.953901468476253
0.32,0.9537637055807612
0.36,0.9536321182710872
0.4,0.9535067046137449
0.44,0.9533874626758885
0.48,0.953274390525269
0.52,0.953167486230244
0.56,0.9530667478597892
0.6,0.9529721734834873
0.64,0.9528837611715059
0.68,0.9528015089946698
0.72,0.9527254150243596
0.76,0.9526554773326111
0.8,0.9525916939920355
0.84,0.9525340630758581
0.88,0.9524825826579121
0.92,0.9524372508126538
0.96,0.9523980656151285
1.0,0.9523650251409854
1.04,0.9523381274665155
1.08,0.952317370668554
1.12,0.9523027528246041
1.16,0.9522942720127281
1.2,0.952291926311635
1.24,0.9522957138006071
1.28,0.9523056325595445
1.32,0.9523216806689638
1.36,0.9523438562099658
1.4,0.9523721572642627
1.44,0.9524065819141729
1.48,0.9524471282426238
1.52,0.9524937943331403
1.56,0.9525465782698541
1.6,0.9526054781375022
1.64,0.9526704920214254
1.68,0.9527416180075631
1.72,0.9528188541824505
1.76,0.9529021986332424
1.8,0.9529916494476902
1.84,0.9530872047141492
1.88,0.9531888625215618
1.92,0.953296620959497
1.96,0.9534104781181071
